id,name,artist,popularity,duration_ms,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3Zl9FktbaF6nTI0cGpKYwr,b'Sunny Side Of Hell',b'Grieves',0,237106,2011,0,0,0,0,0,0,0,0,0,0,0
3ut5Nkw2Hbv76fpzmujOFp,b'Everything',b'Murs',32,214026,2008,0,0,0,0,0,0,0,0,0,0,0
0pb0Y7tsJAXiPMYXatq4Og,b'On The Rocks',b'Grieves',0,185373,2011,0,0,0,0,0,0,0,0,0,0,0
2sKRFpIJi1x1px6mAKewIs,b'Slow Cure',b'Common Market',14,247405,2008,0,0,0,0,0,0,0,0,0,0,0
3F2nXlS9FIJiaHqna12k1U,b'This Far',b'Collective Efforts',20,305853,2010,0,0,0,0,0,0,0,0,0,0,0
29jmo4Awj9WdrcQ1AK8ghv,b'Walking Away',b'Brother Ali',0,238920,2007,0,0,0,0,0,0,0,0,0,0,0
3QOmgrh6ElgcPKwOAnbwgu,b'The Best Day',b'Atmosphere',0,216893,2010,0,0,0,0,0,0,0,0,0,0,0
76QX42psCJ7qa37hGVhMjS,b'Southside Revival',b'Blue Scholars',17,296893,2006,0,0,0,0,0,0,0,0,0,0,0
51bB0OmoieIGoYZNT3RNyh,"b""The Humans' race""",b'Sweatshop Union',19,254146,2006,0,0,0,0,0,0,0,0,0,0,0
7JC0gbtbTRSk1YXw8pPex6,b'Mic Like a Memory [Deluxe Edition] (feat. Kory Calico)',b'CunninLynguists',1,276100,2001,0,0,0,0,0,0,0,0,0,0,0
7cHRys0Lhk9642dLaPUMkm,b'Soon It Will Be Cold Enough to Build Fires',b'Emancipator',0,174533,2008,0,0,0,0,0,0,0,0,0,0,0
5Kol7a51obXwqkwAhp0DkH,b'Way of the Light',b'Gift Of Gab',24,262213,2004,0,0,0,0,0,0,0,0,0,0,0
47xpFbYu56SslEu3cL4jFY,b'In the City (feat. Zumbi of Zion I)',b'CunninLynguists',21,219752,2014,0,0,0,0,0,0,0,0,0,0,0
0H1OureTxinowEaDHuR3pp,b'Fall From Paradise',b'Classified',12,252720,2007,0,0,0,0,0,0,0,0,0,0,0
2D0JAGN3FR4EpkbjkTIEfp,b'Purple Kush (feat. Sunspot Jonz)',b'Living Legends',32,155066,2006,0,0,0,0,0,0,0,0,0,0,0
7B2zU9I4GLAovGueLPsUJU,b'50 Thousand Deep',b'Blue Scholars',22,307120,2007,0,0,0,0,0,0,0,0,0,0,0
5KHebcXYSD3vG5Bl2YM9go,b'Trinity',b'Common Market',9,286106,2006,0,0,0,0,0,0,0,0,0,0,0
7kH21UpmSW9vWDqxAa8oVP,b'Moving at the Speed of Life (feat. Aesop & Slug)',b'Living Legends',37,221520,2006,0,0,0,0,0,0,0,0,0,0,0
